header;Europe;C;North America;C;Hawaii;C;Central America;C;South America;C;North Africa & Middle East;C;South Africa;C;India;C;South East Asia;C;Far East and Central Asia;C;Australia & Oceania;C
Europe;35;50;60;105;100;185;70;120;80;135;40;70;60;105;60;105;80;135;80;135;100;185
North America;60;105;30;55;40;70;35;60;60;105;80;135;100;185;100;185;80;135;80;135;80;135
Hawaii;100;185;40;70;0;0;60;105;80;135;100;185;100;185;100;185;60;105;40;70;40;70
Central America;70;120;35;60;60;105;30;55;35;60;100;185;100;185;100;185;100;185;100;185;80;135
South America;80;135;60;105;80;135;35;60;30;55;100;185;60;105;100;185;100;185;100;185;80;135
North Africa & Middle East;40;70;80;135;100;185;100;185;100;185;30;55;40;70;30;55;60;105;80;135;100;185
South Africa;60;105;100;185;100;185;100;185;60;105;40;70;30;55;60;105;80;135;100;185;100;185
India;60;105;100;185;100;185;100;185;100;185;30;55;60;105;30;55;40;70;40;70;80;135
South East Asia;80;135;80;135;60;105;100;185;100;185;60;105;80;135;40;70;30;55;40;70;60;105
Far East and Central Asia;80;135;80;135;40;70;100;185;100;185;80;135;100;185;40;70;40;70;30;55;60;105
Australia & Oceania;100;185;80;135;40;70;80;135;80;135;100;185;100;185;80;135;60;105;60;105;30;55
domestic;ALL;;25;35;;;;;;;;;;;;;;;;;;
domestic;Germany;;30;40;;;;;;;;;;;;;;;;;;
